day_key,entry_time,side,entry_price,sl,tp,exit_time,exit_price,exit_reason,pnl_usdt,r_multiple,used_fallback,mode
2025-09-03,2025-09-03 23:45:00+00:00,long,111659.8,111612.92857142858,111776.97857142858,2025-09-04 00:00:00+00:00,111612.92857142858,stop_loss,-278.1757238647029,-6.954393096617572,True,aggressive
2025-09-04,2025-09-04 23:45:00+00:00,long,110679.4,110569.51428571428,110954.11428571428,2025-09-05 00:00:00+00:00,110569.51428571428,stop_loss,-140.67228289131413,-3.516807072282853,True,aggressive
2025-09-05,2025-09-05 23:45:00+00:00,long,110614.9,110518.62142857142,110855.59642857141,2025-09-06 00:00:00+00:00,110518.62142857142,stop_loss,-154.84046665182927,-3.8710116662957317,True,aggressive
2025-09-06,2025-09-06 23:45:00+00:00,short,110135.3,110150.88571428572,110096.33571428571,2025-09-07 00:00:00+00:00,110150.88571428572,stop_loss,-746.6926214482692,-18.66731553620673,True,aggressive
2025-09-07,2025-09-07 23:45:00+00:00,long,111076.0,111032.29285714286,111185.26785714286,2025-09-08 00:00:00+00:00,111032.29285714286,stop_loss,-294.0869504821436,-7.3521737620535905,True,aggressive
2025-09-08,2025-09-08 23:45:00+00:00,long,112012.6,111968.78571428572,112122.13571428572,2025-09-09 00:00:00+00:00,111968.78571428572,stop_loss,-295.6031463971575,-7.390078659928937,True,aggressive
2025-09-09,2025-09-09 23:45:00+00:00,long,111499.9,111453.59285714285,111615.66785714285,2025-09-10 00:00:00+00:00,111453.59285714285,stop_loss,-280.7333718957316,-7.01833429739329,True,aggressive
2025-09-10,2025-09-10 23:45:00+00:00,short,113896.8,113935.12857142858,113800.97857142857,2025-09-11 00:00:00+00:00,113935.12857142858,stop_loss,-337.209001118132,-8.4302250279533,True,aggressive
2025-09-11,2025-09-11 23:45:00+00:00,short,115427.0,115515.85714285714,115204.85714285714,2025-09-12 00:00:00+00:00,115515.85714285714,stop_loss,-169.95176848874294,-4.248794212218574,True,aggressive
2025-09-12,2025-09-12 23:45:00+00:00,short,115978.4,116021.7,115870.15,2025-09-13 00:00:00+00:00,116021.7,stop_loss,-307.89849884524756,-7.697462471131189,True,aggressive
2025-09-13,2025-09-13 23:45:00+00:00,long,115862.7,115849.44285714286,115895.84285714285,2025-09-14 00:00:00+00:00,115895.84285714285,take_profit,-774.0893318967763,-19.35223329741941,True,aggressive
2025-09-14,2025-09-14 23:45:00+00:00,long,115210.0,115139.07142857143,115387.32142857143,2025-09-15 00:00:00+00:00,115139.07142857143,stop_loss,-202.38101711985314,-5.059525427996329,True,aggressive
2025-09-15,2025-09-15 23:45:00+00:00,long,115300.6,115271.41428571429,115373.5642857143,2025-09-16 00:00:00+00:00,115271.41428571429,stop_loss,-435.00834557017794,-10.87520863925445,True,aggressive
2025-09-16,2025-09-16 23:45:00+00:00,long,116747.3,116721.07857142857,116812.85357142857,2025-09-17 00:00:00+00:00,116721.07857142857,stop_loss,-485.1862299100992,-12.12965574775248,True,aggressive
2025-09-17,2025-09-17 23:45:00+00:00,short,116402.5,116522.70714285714,116101.98214285714,2025-09-18 00:15:00+00:00,116101.98214285714,take_profit,3.290072196802626,0.08225180492006565,True,aggressive
2025-09-18,2025-09-18 23:45:00+00:00,short,117017.1,117096.82142857143,116817.79642857143,2025-09-19 00:00:00+00:00,117096.82142857143,stop_loss,-186.8324926081885,-4.670812315204712,True,aggressive
2025-09-19,2025-09-19 23:45:00+00:00,long,115569.5,115543.12142857142,115635.44642857143,2025-09-20 00:00:00+00:00,115543.12142857142,stop_loss,-478.06887354445394,-11.951721838611348,True,aggressive
2025-09-20,2025-09-20 23:45:00+00:00,short,115624.9,115649.02142857142,115564.59642857141,2025-09-21 00:00:00+00:00,115649.02142857142,stop_loss,-519.3951584247446,-12.984878960618616,True,aggressive
2025-09-21,2025-09-21 23:45:00+00:00,long,115183.9,115157.25,115250.525,2025-09-22 00:00:00+00:00,115157.25,stop_loss,-472.1597560976553,-11.803993902441382,True,aggressive
2025-09-22,2025-09-22 23:45:00+00:00,long,112604.7,112554.30714285714,112730.68214285714,2025-09-23 00:00:00+00:00,112554.30714285714,stop_loss,-263.40369241673494,-6.585092310418373,True,aggressive
2025-09-23,2025-09-23 23:45:00+00:00,short,111947.0,112001.60714285714,111810.48214285714,2025-09-24 00:00:00+00:00,111810.48214285714,take_profit,-104.87931654676014,-2.6219829136690036,True,aggressive
2025-09-24,2025-09-24 23:45:00+00:00,short,113254.0,113285.90714285715,113174.23214285714,2025-09-25 00:00:00+00:00,113285.90714285715,stop_loss,-394.99873516896173,-9.874968379224043,True,aggressive
2025-09-25,2025-09-25 23:45:00+00:00,long,108934.5,108867.17857142857,109102.80357142857,2025-09-26 00:00:00+00:00,109102.80357142857,take_profit,-61.937519893897175,-1.5484379973474294,True,aggressive
2025-09-26,2025-09-26 23:45:00+00:00,short,109588.5,109629.35,109486.375,2025-09-27 00:15:00+00:00,109486.375,take_profit,-168.14550183596137,-4.203637545899034,True,aggressive
2025-09-27,2025-09-27 23:45:00+00:00,long,109577.3,109553.20714285715,109637.53214285715,2025-09-28 00:00:00+00:00,109553.20714285715,stop_loss,-494.7623925290003,-12.369059813225007,True,aggressive
2025-09-28,2025-09-28 23:45:00+00:00,short,112119.6,112243.2642857143,111810.4392857143,2025-09-29 00:15:00+00:00,112243.2642857143,stop_loss,-130.71449488823336,-3.267862372205834,True,aggressive
2025-09-29,2025-09-29 23:45:00+00:00,short,114257.1,114286.85714285714,114182.70714285715,2025-09-30 00:00:00+00:00,114182.70714285715,take_profit,-283.8402904465099,-7.0960072611627485,True,aggressive
2025-09-30,2025-09-30 05:15:00+00:00,short,113985.1,114143.62857142858,113588.77857142859,2025-09-30 07:30:00+00:00,113588.77857142859,take_profit,28.223071550867587,0.7055767887716895,False,aggressive
2025-10-01,2025-10-01 23:45:00+00:00,short,118552.4,118651.59999999999,118304.4,2025-10-02 00:00:00+00:00,118651.59999999999,stop_loss,-159.55846774193898,-3.9889616935484744,True,aggressive
2025-10-02,2025-10-02 23:45:00+00:00,short,120481.3,120532.5142857143,120353.2642857143,2025-10-03 00:00:00+00:00,120353.2642857143,take_profit,-135.12440027893234,-3.3781100069733085,True,aggressive
2025-10-03,2025-10-03 11:00:00+00:00,long,120186.9,120095.17857142857,120416.20357142857,2025-10-03 11:15:00+00:00,120186.9,time_limit_24h,-131.0347013472465,-3.2758675336811627,True,aggressive
